User_ID,Nama_User,Fan_Status
USR-385,Anonymous Fan USR-385,Standard
USR-377,Anonymous Fan USR-377,Standard
USR-121,Anonymous Fan USR-121,Standard
USR-116,Anonymous Fan USR-116,Standard
USR-233,Anonymous Fan USR-233,Standard
USR-259,Anonymous Fan USR-259,Standard
USR-198,Anonymous Fan USR-198,Standard
USR-411,Anonymous Fan USR-411,Standard
USR-137,Anonymous Fan USR-137,Standard
USR-318,Anonymous Fan USR-318,Standard
USR-165,Anonymous Fan USR-165,Standard
USR-234,Anonymous Fan USR-234,Standard
USR-463,Anonymous Fan USR-463,Standard
USR-315,Anonymous Fan USR-315,Subscriber
USR-374,Anonymous Fan USR-374,Standard
USR-180,Anonymous Fan USR-180,Standard
USR-113,Anonymous Fan USR-113,Subscriber
USR-497,Anonymous Fan USR-497,Subscriber
USR-442,Anonymous Fan USR-442,Standard
USR-295,Anonymous Fan USR-295,Standard
USR-387,Anonymous Fan USR-387,Subscriber
USR-440,Anonymous Fan USR-440,Standard
USR-130,Anonymous Fan USR-130,Standard
USR-220,Anonymous Fan USR-220,Standard
USR-343,Anonymous Fan USR-343,Subscriber
USR-224,Anonymous Fan USR-224,Standard
USR-403,Anonymous Fan USR-403,Standard
USR-126,Anonymous Fan USR-126,Subscriber
USR-416,Anonymous Fan USR-416,Standard
USR-247,Anonymous Fan USR-247,Standard
USR-324,Anonymous Fan USR-324,Standard
USR-439,Anonymous Fan USR-439,Subscriber
USR-203,Anonymous Fan USR-203,Standard
USR-184,Anonymous Fan USR-184,Standard
USR-123,Anonymous Fan USR-123,Standard
USR-401,Anonymous Fan USR-401,Standard
USR-325,Anonymous Fan USR-325,Standard
USR-372,Anonymous Fan USR-372,Subscriber
USR-98,Anonymous Fan USR-98,Standard
USR-470,Anonymous Fan USR-470,Standard
USR-395,Anonymous Fan USR-395,Standard
USR-240,Anonymous Fan USR-240,Standard
USR-144,Anonymous Fan USR-144,Standard
USR-97,Anonymous Fan USR-97,Standard
USR-124,Anonymous Fan USR-124,Standard
USR-326,Anonymous Fan USR-326,Standard
USR-148,Anonymous Fan USR-148,Standard
USR-443,Anonymous Fan USR-443,Standard
USR-451,Anonymous Fan USR-451,Standard
USR-147,Anonymous Fan USR-147,Standard
USR-199,Anonymous Fan USR-199,Standard
USR-308,Anonymous Fan USR-308,Standard
USR-489,Anonymous Fan USR-489,Standard
USR-417,Anonymous Fan USR-417,Subscriber
USR-424,Anonymous Fan USR-424,Standard
USR-39,Anonymous Fan USR-39,Standard
USR-267,Anonymous Fan USR-267,Standard
USR-434,Anonymous Fan USR-434,Subscriber
USR-151,Anonymous Fan USR-151,Standard
USR-415,Anonymous Fan USR-415,Standard
USR-478,Anonymous Fan USR-478,Standard
USR-298,Anonymous Fan USR-298,Standard
USR-263,Anonymous Fan USR-263,Standard
USR-112,Anonymous Fan USR-112,Standard
USR-60,Anonymous Fan USR-60,Standard
USR-369,Anonymous Fan USR-369,Standard
USR-254,Anonymous Fan USR-254,Standard
USR-140,Anonymous Fan USR-140,Standard
USR-453,Anonymous Fan USR-453,Standard
USR-37,Anonymous Fan USR-37,Standard
USR-404,Anonymous Fan USR-404,Standard
USR-120,Anonymous Fan USR-120,Standard
USR-408,Anonymous Fan USR-408,Standard
USR-75,Anonymous Fan USR-75,Standard
USR-422,Anonymous Fan USR-422,Standard
USR-104,Anonymous Fan USR-104,Standard
USR-153,Anonymous Fan USR-153,Standard
USR-384,Anonymous Fan USR-384,Standard
USR-366,Anonymous Fan USR-366,Standard
USR-194,Anonymous Fan USR-194,Standard
USR-445,Anonymous Fan USR-445,Standard
USR-169,Anonymous Fan USR-169,Subscriber
USR-68,Anonymous Fan USR-68,Subscriber
USR-195,Anonymous Fan USR-195,Standard
USR-176,Anonymous Fan USR-176,Standard
USR-371,Anonymous Fan USR-371,Standard
USR-375,Anonymous Fan USR-375,Standard
USR-238,Anonymous Fan USR-238,Standard
USR-158,Anonymous Fan USR-158,Subscriber
USR-38,Anonymous Fan USR-38,Standard
USR-230,Anonymous Fan USR-230,Standard
USR-365,Anonymous Fan USR-365,Standard
USR-438,Anonymous Fan USR-438,Standard
USR-27,Anonymous Fan USR-27,Standard
USR-226,Anonymous Fan USR-226,Standard
USR-448,Anonymous Fan USR-448,Subscriber
USR-481,Anonymous Fan USR-481,Standard
USR-317,Anonymous Fan USR-317,Standard
USR-4,Anonymous Fan USR-4,Standard
USR-17,Anonymous Fan USR-17,Standard
USR-46,Anonymous Fan USR-46,Standard
USR-6,Anonymous Fan USR-6,Standard
USR-302,Anonymous Fan USR-302,Standard
USR-181,Anonymous Fan USR-181,Standard
USR-95,Anonymous Fan USR-95,Subscriber
USR-469,Anonymous Fan USR-469,Subscriber
USR-471,Anonymous Fan USR-471,Standard
USR-256,Anonymous Fan USR-256,Standard
USR-323,Anonymous Fan USR-323,Standard
USR-18,Anonymous Fan USR-18,Standard
USR-281,Anonymous Fan USR-281,Subscriber
USR-223,Anonymous Fan USR-223,Standard
USR-58,Anonymous Fan USR-58,Standard
USR-174,Anonymous Fan USR-174,Standard
USR-114,Anonymous Fan USR-114,Standard
USR-288,Anonymous Fan USR-288,Standard
USR-342,Anonymous Fan USR-342,Standard
USR-450,Anonymous Fan USR-450,Standard
USR-127,Anonymous Fan USR-127,Standard
USR-155,Anonymous Fan USR-155,Standard
USR-474,Anonymous Fan USR-474,Standard
USR-273,Anonymous Fan USR-273,Standard
USR-299,Anonymous Fan USR-299,Subscriber
USR-246,Anonymous Fan USR-246,Subscriber
USR-26,Anonymous Fan USR-26,Standard
USR-355,Anonymous Fan USR-355,Standard
USR-306,Anonymous Fan USR-306,Subscriber
USR-409,Anonymous Fan USR-409,Standard
USR-391,Anonymous Fan USR-391,Standard
USR-313,Anonymous Fan USR-313,Subscriber
USR-173,Anonymous Fan USR-173,Standard
USR-20,Anonymous Fan USR-20,Standard
USR-321,Anonymous Fan USR-321,Standard
USR-494,Anonymous Fan USR-494,Standard
USR-400,Anonymous Fan USR-400,Standard
USR-142,Anonymous Fan USR-142,Standard
USR-354,Anonymous Fan USR-354,Standard
USR-322,Anonymous Fan USR-322,Standard
USR-447,Anonymous Fan USR-447,Standard
USR-186,Anonymous Fan USR-186,Standard
USR-125,Anonymous Fan USR-125,Subscriber
USR-305,Anonymous Fan USR-305,Standard
USR-491,Anonymous Fan USR-491,Standard
USR-196,Anonymous Fan USR-196,Subscriber
USR-262,Anonymous Fan USR-262,Standard
USR-480,Anonymous Fan USR-480,Standard
USR-350,Anonymous Fan USR-350,Standard
USR-47,Anonymous Fan USR-47,Standard
USR-311,Anonymous Fan USR-311,Standard
USR-269,Anonymous Fan USR-269,Standard
USR-370,Anonymous Fan USR-370,Standard
USR-145,Anonymous Fan USR-145,Standard
USR-319,Anonymous Fan USR-319,Standard
USR-275,Anonymous Fan USR-275,Standard
USR-229,Anonymous Fan USR-229,Standard
USR-117,Anonymous Fan USR-117,Subscriber
USR-279,Anonymous Fan USR-279,Standard
USR-396,Anonymous Fan USR-396,Standard
USR-1,Anonymous Fan USR-1,Standard
USR-239,Anonymous Fan USR-239,Standard
USR-290,Anonymous Fan USR-290,Standard
USR-118,Anonymous Fan USR-118,Standard
USR-488,Anonymous Fan USR-488,Standard
USR-272,Anonymous Fan USR-272,Standard
USR-487,Anonymous Fan USR-487,Standard
USR-69,Anonymous Fan USR-69,Standard
USR-278,Anonymous Fan USR-278,Standard
USR-76,Anonymous Fan USR-76,Standard
USR-154,Anonymous Fan USR-154,Standard
USR-435,Anonymous Fan USR-435,Subscriber
USR-185,Anonymous Fan USR-185,Standard
USR-285,Anonymous Fan USR-285,Subscriber
USR-94,Anonymous Fan USR-94,Subscriber
USR-204,Anonymous Fan USR-204,Subscriber
USR-432,Anonymous Fan USR-432,Subscriber
USR-341,Anonymous Fan USR-341,Standard
USR-357,Anonymous Fan USR-357,Standard
USR-23,Anonymous Fan USR-23,Standard
USR-250,Anonymous Fan USR-250,Standard
USR-10,Anonymous Fan USR-10,Standard
USR-394,Anonymous Fan USR-394,Standard
USR-16,Anonymous Fan USR-16,Standard
USR-336,Anonymous Fan USR-336,Standard
USR-178,Anonymous Fan USR-178,Subscriber
USR-427,Anonymous Fan USR-427,Standard
USR-168,Anonymous Fan USR-168,Standard
USR-330,Anonymous Fan USR-330,Subscriber
USR-43,Anonymous Fan USR-43,Subscriber
USR-397,Anonymous Fan USR-397,Standard
USR-12,Anonymous Fan USR-12,Subscriber
USR-337,Anonymous Fan USR-337,Subscriber
USR-90,Anonymous Fan USR-90,Subscriber
USR-93,Anonymous Fan USR-93,Standard
USR-458,Anonymous Fan USR-458,Standard
USR-115,Anonymous Fan USR-115,Standard
USR-105,Anonymous Fan USR-105,Standard
USR-413,Anonymous Fan USR-413,Standard
USR-376,Anonymous Fan USR-376,Standard
USR-249,Anonymous Fan USR-249,Subscriber
USR-164,Anonymous Fan USR-164,Standard
USR-457,Anonymous Fan USR-457,Subscriber
USR-177,Anonymous Fan USR-177,Standard
USR-496,Anonymous Fan USR-496,Standard
USR-466,Anonymous Fan USR-466,Subscriber
USR-183,Anonymous Fan USR-183,Standard
USR-361,Anonymous Fan USR-361,Standard
USR-84,Anonymous Fan USR-84,Subscriber
USR-368,Anonymous Fan USR-368,Standard
USR-19,Anonymous Fan USR-19,Standard
USR-339,Anonymous Fan USR-339,Subscriber
USR-25,Anonymous Fan USR-25,Standard
USR-57,Anonymous Fan USR-57,Standard
USR-109,Anonymous Fan USR-109,Standard
USR-423,Anonymous Fan USR-423,Subscriber
USR-133,Anonymous Fan USR-133,Standard
USR-221,Anonymous Fan USR-221,Subscriber
USR-235,Anonymous Fan USR-235,Standard
USR-146,Anonymous Fan USR-146,Standard
USR-74,Anonymous Fan USR-74,Standard
USR-7,Anonymous Fan USR-7,Subscriber
USR-141,Anonymous Fan USR-141,Standard
USR-132,Anonymous Fan USR-132,Standard
USR-292,Anonymous Fan USR-292,Standard
USR-70,Anonymous Fan USR-70,Standard
USR-182,Anonymous Fan USR-182,Standard
USR-91,Anonymous Fan USR-91,Standard
USR-383,Anonymous Fan USR-383,Standard
USR-312,Anonymous Fan USR-312,Standard
USR-303,Anonymous Fan USR-303,Standard
USR-149,Anonymous Fan USR-149,Standard
USR-80,Anonymous Fan USR-80,Standard
USR-358,Anonymous Fan USR-358,Subscriber
USR-156,Anonymous Fan USR-156,Standard
USR-8,Anonymous Fan USR-8,Standard
USR-228,Anonymous Fan USR-228,Subscriber
USR-212,Anonymous Fan USR-212,Standard
USR-82,Anonymous Fan USR-82,Subscriber
USR-197,Anonymous Fan USR-197,Standard
USR-251,Anonymous Fan USR-251,Standard
USR-119,Anonymous Fan USR-119,Standard
