Negara,Kuartal,Tipe_Item,Volume_Penjualan,Total_Revenue
Austria,3,Digital Track,1459,3643.89
Portugal,4,Physical / Merch,166,3582.29
Chile,3,Physical / Merch,176,3534.48
Netherlands,3,Other,157,3518.22
Hong Kong,3,Digital Album,496,3503.62
Poland,4,Digital Album,611,3501.44
Austria,4,Digital Album,431,3321.77
Slovakia,3,Physical / Merch,192,3319.64
Canada,4,Digital Track,991,3267.69
Republic of Korea,3,Digital Track,1347,3261.81
Chile,3,Digital Album,598,3255.14
Germany,4,Other,123,3225.59
Ukraine,3,Digital Album,621,3210.98
South Africa,3,Digital Track,962,3203.84
C2,3,Physical / Merch,199,3180.18
Denmark,4,Digital Album,430,3172.05
Japan,4,Digital Track,1221,3099.09
Norway,3,Digital Track,1269,3077.66
Taiwan,3,Digital Album,432,3032.38
Romania,3,Digital Track,1248,3022.22
Brazil,3,Physical / Merch,163,2883.75
Slovakia,3,Digital Album,461,2869.11
Singapore,3,Physical / Merch,167,2805.71
Luxembourg,3,Physical / Merch,141,2803.58
Slovenia,3,Digital Album,488,2693.97
Hong Kong,3,Physical / Merch,132,2692.65
Lithuania,3,Digital Album,451,2608.8
France,4,Digital Track,1035,2530.32
Estonia,3,Physical / Merch,140,2525.46
Mexico,3,Digital Track,1241,2493.86
Russian Federation,4,Digital Album,484,2488.86
Norway,4,Digital Album,319,2484.54
Republic of Korea,3,Physical / Merch,113,2479.31
Israel,3,Digital Track,1147,2477.62
Belgium,3,Other,79,2449.93
Estonia,3,Digital Album,443,2403.71
Croatia,3,Physical / Merch,138,2400.34
Luxembourg,3,Digital Album,289,2295.27
Bulgaria,3,Digital Album,315,2274.2
Denmark,3,Digital Track,1008,2272.89
Croatia,3,Digital Album,388,2268.65
Romania,3,Physical / Merch,114,2238.4
Slovenia,3,Physical / Merch,125,2222.21
Ukraine,3,Digital Track,1004,2217.65
Spain,3,Other,112,2210.96
India,3,Digital Album,326,2189.35
Israel,4,Digital Album,271,2189.07
Czech Republic,3,Digital Track,1037,2188.67
Austria,3,Other,68,2182.83
Thailand,3,Digital Album,334,2177.39
Greece,3,Digital Track,1077,2161.03
United Arab Emirates,3,Digital Album,292,2159.32
Thailand,3,Physical / Merch,121,2127.27
Argentina,3,Digital Album,302,2084.18
Brazil,3,Digital Track,947,1996.97
Colombia,3,Digital Album,281,1968.95
China,3,Digital Album,343,1963.12
Russian Federation,3,Other,119,1950.03
Italy,3,Other,89,1943.05
Philippines,3,Digital Album,306,1922.39
Portugal,3,Digital Track,773,1869.49
Czech Republic,4,Physical / Merch,78,1863.04
Australia,4,Other,84,1816.41
Greece,4,Digital Album,244,1740.05
France,4,Other,64,1700.53
Finland,3,Other,88,1687.05
Ukraine,3,Physical / Merch,75,1497.06
Netherlands,4,Digital Track,609,1492.28
Lithuania,4,Physical / Merch,62,1487.65
Ireland,4,Digital Track,429,1462.35
Hungary,3,Digital Track,678,1440.25
Switzerland,4,Digital Track,497,1440.25
Serbia,3,Physical / Merch,66,1363.23
Taiwan,3,Physical / Merch,83,1360.07
Latvia,3,Digital Album,224,1359.17
Czech Republic,4,Digital Album,189,1355.29
Portugal,4,Digital Album,202,1328.95
Switzerland,4,Other,24,1319.94
Taiwan,3,Digital Track,594,1313.22
Iceland,3,Digital Album,189,1311.51
Ireland,3,Other,58,1294.84
Chile,3,Digital Track,556,1289.78
Malaysia,3,Physical / Merch,88,1283.14
Lithuania,3,Digital Track,704,1277.86
Poland,3,Other,74,1238.26
Hungary,4,Physical / Merch,54,1235.82
Iceland,3,Physical / Merch,60,1220.08
Latvia,3,Physical / Merch,74,1205.39
Canada,4,Other,49,1167.12
Denmark,3,Other,44,1160.41
Norway,3,Other,44,1152.17
Mexico,4,Digital Album,190,1143.87
Hong Kong,3,Digital Track,486,1058.48
Estonia,3,Digital Track,516,1047.03
Hungary,4,Digital Album,146,1036.81
Japan,4,Other,47,1030.12
Colombia,3,Digital Track,455,1026.55
South Africa,4,Digital Album,145,1025.28
Colombia,3,Physical / Merch,50,1020.24
Serbia,3,Digital Album,180,1016.38
Viet Nam,3,Digital Album,162,1003.92
Romania,4,Digital Album,116,991.6
Mexico,3,Other,55,985.49
Mexico,4,Physical / Merch,49,943.06
New Zealand,3,Other,47,931.33
Republic of Korea,4,Digital Album,137,928.92
Belgium,4,Digital Track,324,923.07
Luxembourg,4,Physical / Merch,40,919.56
Malaysia,3,Digital Album,165,902.69
Romania,4,Physical / Merch,42,898.79
Israel,3,Other,37,883.89
Singapore,4,Physical / Merch,49,879.31
Slovenia,3,Digital Track,363,871.23
Malta,3,Physical / Merch,45,866.18
Singapore,4,Digital Album,115,864.54
Bulgaria,3,Physical / Merch,53,853.26
C2,3,Digital Track,510,852.15
Costa Rica,3,Digital Album,137,848.6
Croatia,3,Digital Track,390,848.33
New Zealand,4,Digital Track,353,827.95
Peru,3,Digital Album,147,824.29
Cyprus,3,Digital Album,105,822.95
Brazil,4,Digital Album,118,819.56
Argentina,3,Digital Track,369,817.28
United Arab Emirates,3,Digital Track,342,799.63
China,3,Digital Track,383,795.16
Spain,4,Digital Track,338,765.08
Costa Rica,3,Physical / Merch,46,761.59
Indonesia,3,Digital Album,159,759.25
Thailand,3,Digital Track,403,757.76
Singapore,3,Digital Track,300,750.44
Italy,4,Digital Track,281,738.92
Philippines,3,Physical / Merch,45,737.82
United Arab Emirates,3,Physical / Merch,33,736.6
Russian Federation,4,Digital Track,348,734.31
Thailand,4,Physical / Merch,27,724.25
Belarus,3,Digital Album,148,721.52
Belgium,4,Other,17,708.61
Egypt,3,Digital Album,109,707.03
Estonia,4,Physical / Merch,32,702.28
Slovakia,4,Physical / Merch,43,700.36
Kuwait,3,Digital Album,56,692.45
Iceland,4,Physical / Merch,33,684.35
Ecuador,3,Digital Album,112,683.13
Ireland,4,Other,27,680.44
Bulgaria,4,Physical / Merch,18,674.08
Georgia,3,Digital Album,122,667.56
Cyprus,3,Physical / Merch,25,662.59
Cyprus,4,Physical / Merch,19,656.47
Czech Republic,3,Other,37,646.33
Chile,4,Physical / Merch,30,641.28
Georgia,3,Digital Track,336,629.03
South Africa,3,Physical / Merch,42,626.04
Finland,4,Digital Track,255,604.22
C2,4,Digital Album,105,599.8
Hong Kong,3,Other,20,583.99
Bulgaria,3,Digital Track,277,583.24
Bahrain,3,Digital Album,64,582.99
Croatia,4,Digital Album,89,578.15
Republic of Korea,3,Other,12,576.86
Malaysia,4,Physical / Merch,30,564.09
Turkey,3,Digital Album,105,557.32
Serbia,3,Digital Track,282,554.68
Republic of Korea,4,Physical / Merch,27,553.95
Hong Kong,4,Physical / Merch,30,552.77
Croatia,4,Physical / Merch,20,549.13
China,4,Digital Album,66,543.91
Uruguay,3,Digital Album,92,531.14
Hong Kong,4,Digital Album,74,530.59
Peru,3,Physical / Merch,37,529.5
Portugal,3,Other,29,527.81
Saudi Arabia,3,Digital Album,69,527.4
Romania,3,Other,24,525.42
Slovakia,3,Digital Track,211,519.84
Greece,3,Other,32,519.15
Indonesia,3,Physical / Merch,36,514.45
India,3,Digital Track,248,511.8
Ecuador,3,Physical / Merch,29,499.0
Qatar,3,Digital Track,235,495.89
Monaco,3,Physical / Merch,22,490.35
Spain,4,Other,21,489.79
United Arab Emirates,4,Physical / Merch,14,470.02
Thailand,4,Digital Album,55,461.51
Mexico,4,Digital Track,226,461.22
Georgia,3,Physical / Merch,28,452.07
Luxembourg,3,Digital Track,187,450.79
Philippines,4,Digital Album,63,450.16
Brazil,3,Other,32,445.02
Sweden,4,Digital Track,160,443.17
Austria,4,Digital Track,184,441.12
Republic of Korea,4,Digital Track,158,437.25
Ukraine,4,Digital Album,75,436.78
Indonesia,3,Digital Track,199,435.21
Chile,4,Digital Album,65,423.51
Belarus,3,Physical / Merch,24,413.83
Kazakhstan,3,Physical / Merch,17,397.67
French Polynesia,3,Digital Album,58,391.75
Latvia,3,Digital Track,198,389.78
Brazil,4,Physical / Merch,19,388.19
Peru,3,Digital Track,185,386.14
Romania,4,Digital Track,134,385.87
Turkey,4,Physical / Merch,10,385.66
Poland,4,Digital Track,186,380.4
Taiwan,4,Digital Album,62,379.01
Luxembourg,4,Digital Album,51,366.07
India,4,Digital Album,39,365.11
Argentina,4,Digital Album,33,363.25
Ukraine,3,Other,18,360.03
Estonia,4,Digital Album,54,359.86
Iceland,3,Digital Track,125,358.61
Slovakia,4,Digital Album,71,358.14
Italy,4,Other,20,353.23
Turkey,3,Digital Track,188,351.55
China,3,Physical / Merch,15,349.29
Qatar,3,Physical / Merch,15,345.38
Lithuania,3,Other,16,342.24
Netherlands,4,Other,24,339.8
Malta,3,Digital Album,58,335.23
Taiwan,4,Physical / Merch,15,331.78
Norway,4,Digital Track,113,330.39
Lithuania,4,Digital Album,60,330.12
Bulgaria,4,Digital Album,45,329.44
Argentina,3,Physical / Merch,20,329.06
United Arab Emirates,4,Digital Album,42,326.3
Qatar,3,Digital Album,52,325.63
Kenya,3,Digital Album,46,323.6
Colombia,3,Other,12,320.03
Philippines,3,Digital Track,162,319.2
Macao,3,Digital Album,57,317.38
Ukraine,4,Physical / Merch,13,313.92
Oman,3,Digital Album,44,313.09
South Africa,4,Physical / Merch,12,312.01
Denmark,4,Digital Track,132,307.34
Bermuda,3,Other,2,299.45
Sweden,4,Other,14,297.06
Gibraltar,4,Digital Album,37,292.23
Malaysia,3,Other,7,288.42
C2,4,Physical / Merch,18,287.37
Singapore,3,Other,18,286.86
Norway,4,Other,7,285.18
Slovenia,3,Other,16,283.31
Latvia,3,Other,12,283.03
South Africa,3,Other,16,278.46
Slovakia,3,Other,14,277.91
Bermuda,3,Digital Album,38,275.85
Macedonia,3,Digital Album,51,274.73
Finland,4,Other,13,272.92
Malaysia,3,Digital Track,150,272.13
Iceland,4,Digital Album,36,271.54
India,3,Physical / Merch,16,269.01
Hungary,3,Other,16,267.55
China,3,Other,17,265.04
Malta,4,Physical / Merch,9,264.34
Israel,4,Other,4,261.82
Thailand,3,Other,7,258.35
Russian Federation,4,Other,14,252.92
South Africa,4,Digital Track,121,252.79
Puerto Rico,3,Digital Album,41,240.3
Panama,3,Physical / Merch,12,237.56
New Caledonia,3,Digital Album,34,233.34
Belarus,3,Digital Track,113,233.14
Kuwait,3,Physical / Merch,15,233.1
Isle of Man,3,Digital Album,54,232.55
Guatemala,3,Physical / Merch,8,231.59
Malaysia,4,Digital Album,32,231.57
Dominican Republic,3,Physical / Merch,8,230.22
Bahrain,3,Physical / Merch,13,229.68
Turkey,3,Physical / Merch,11,228.38
Saudi Arabia,3,Physical / Merch,10,226.0
Portugal,4,Digital Track,102,224.78
Lebanon,3,Digital Album,38,224.6
Honduras,3,Physical / Merch,16,224.51
C2,3,Other,57,219.15
Chile,3,Other,19,218.24
Saudi Arabia,4,Digital Album,26,216.09
Puerto Rico,3,Digital Track,69,214.88
Brazil,4,Digital Track,94,211.33
Ecuador,3,Digital Track,106,210.9
Slovenia,4,Digital Album,39,210.24
Viet Nam,3,Digital Track,95,208.37
Cyprus,4,Digital Album,34,207.97
Czech Republic,4,Digital Track,83,207.86
Slovenia,4,Physical / Merch,10,202.15
New Zealand,4,Other,7,201.88
Jersey,3,Digital Album,31,201.73
Serbia,4,Digital Album,31,196.55
Taiwan,4,Digital Track,70,186.74
Latvia,4,Digital Album,28,185.06
Uruguay,3,Digital Track,85,184.76
Luxembourg,3,Other,5,182.37
Cyprus,3,Digital Track,78,178.79
Kazakhstan,3,Digital Album,32,178.47
Malta,3,Digital Track,94,177.67
Bulgaria,3,Other,10,176.52
Saudi Arabia,3,Digital Track,50,176.27
Ukraine,4,Digital Track,98,173.38
Armenia,3,Digital Album,29,172.15
Faroe Islands,3,Physical / Merch,9,170.77
Denmark,4,Other,11,168.49
Latvia,4,Physical / Merch,9,167.53
Malta,4,Digital Album,16,165.21
Indonesia,4,Physical / Merch,6,165.11
Bosnia and Herzegovina,3,Digital Album,33,163.66
Thailand,4,Digital Track,78,163.23
Colombia,4,Digital Album,34,162.33
Uruguay,3,Physical / Merch,11,161.82
Venezuela,3,Physical / Merch,5,161.09
Monaco,4,Physical / Merch,7,158.39
Peru,4,Physical / Merch,6,157.89
Turkey,3,Other,11,157.14
Lithuania,4,Digital Track,73,155.36
Austria,4,Other,5,155.13
India,4,Physical / Merch,5,154.68
Belarus,4,Physical / Merch,7,154.66
Guatemala,3,Digital Album,24,151.06
Brunei Darussalam,3,Physical / Merch,7,150.39
Mauritius,3,Digital Album,27,149.47
Morocco,3,Digital Album,21,145.29
Trinidad and Tobago,3,Digital Album,20,144.11
Israel,4,Digital Track,46,143.34
Egypt,3,Digital Track,69,143.09
India,3,Other,11,142.4
Turkey,4,Digital Album,17,140.85
Mexico,4,Other,12,140.64
Cambodia,3,Digital Album,26,139.97
Philippines,3,Other,9,139.33
Chile,4,Digital Track,55,137.52
Greenland,3,Digital Album,15,137.0
Moldova,3,Digital Album,23,136.82
Lebanon,4,Digital Album,22,135.43
Jamaica,3,Digital Album,17,135.09
Panama,3,Digital Album,23,134.37
Armenia,3,Digital Track,77,131.04
Taiwan,3,Other,11,131.03
Dominican Republic,3,Digital Track,31,130.81
Jordan,3,Digital Album,17,130.51
Singapore,4,Digital Track,34,129.08
Bahrain,3,Digital Track,63,128.67
Panama,3,Digital Track,57,128.37
Hungary,4,Digital Track,56,124.37
Guam,3,Digital Album,16,124.01
Estonia,4,Digital Track,41,122.45
Poland,4,Other,10,121.73
China,4,Digital Track,56,121.05
Mauritius,3,Other,2,120.07
Macedonia,3,Digital Track,53,119.27
Belarus,3,Other,4,118.98
Costa Rica,3,Digital Track,52,115.96
Peru,4,Digital Album,19,115.47
Macao,3,Digital Track,52,115.33
Gibraltar,3,Physical / Merch,3,114.54
Bahamas,3,Digital Album,22,113.93
Reunion,4,Physical / Merch,4,112.48
New Caledonia,3,Digital Track,41,111.48
Puerto Rico,3,Physical / Merch,8,107.27
Bolivia,3,Digital Album,23,106.94
Reunion,3,Physical / Merch,5,106.36
Hong Kong,4,Digital Track,49,105.24
French Polynesia,3,Digital Track,28,103.61
Greece,4,Digital Track,55,103.07
Brunei Darussalam,3,Digital Album,15,102.74
Aruba,3,Digital Album,16,102.61
Qatar,4,Physical / Merch,5,102.4
Slovakia,4,Digital Track,50,102.0
French Polynesia,4,Physical / Merch,1,100.33
Lebanon,3,Digital Track,45,99.19
Iceland,3,Other,4,99.13
Guam,4,Digital Album,24,98.62
Moldova,3,Physical / Merch,3,97.92
Romania,4,Other,3,97.47
Costa Rica,4,Physical / Merch,2,96.14
Dominican Republic,3,Digital Album,14,95.87
United Arab Emirates,4,Digital Track,46,95.81
Ecuador,4,Physical / Merch,4,94.02
El Salvador,3,Physical / Merch,7,91.68
Pakistan,3,Digital Track,29,91.1
Mauritius,4,Digital Album,12,90.97
Isle of Man,4,Digital Album,14,90.7
Belize,3,Digital Track,1,90.0
C2,4,Digital Track,49,89.96
Argentina,4,Digital Track,44,88.48
United Arab Emirates,3,Other,2,88.48
ME,3,Digital Track,30,87.26
Serbia,4,Physical / Merch,9,87.26
El Salvador,3,Digital Album,14,87.17
Costa Rica,3,Other,4,86.23
Indonesia,4,Digital Album,18,85.28
Reunion,3,Digital Album,13,83.19
Oman,3,Digital Track,44,83.07
Faroe Islands,3,Digital Album,8,82.78
Isle of Man,3,Digital Track,49,81.38
Senegal,3,Physical / Merch,3,81.12
Croatia,4,Digital Track,50,80.95
Morocco,3,Physical / Merch,5,80.82
Argentina,3,Other,4,80.41
Algeria,3,Physical / Merch,4,80.0
Serbia,3,Other,5,79.24
Egypt,4,Digital Album,5,78.7
Reunion,3,Digital Track,19,78.67
Andorra,3,Digital Album,17,78.14
Dominican Republic,4,Digital Album,12,78.01
Moldova,3,Digital Track,35,77.64
Swaziland,4,Digital Album,8,77.14
Guadeloupe,3,Digital Album,7,76.85
Liechtenstein,4,Digital Album,10,76.58
Nicaragua,3,Digital Album,12,75.9
Croatia,3,Other,8,75.88
Colombia,4,Digital Track,36,75.7
Gibraltar,4,Physical / Merch,2,74.2
Singapore,4,Other,7,71.99
China,4,Physical / Merch,4,71.75
Cambodia,3,Digital Track,23,71.61
Georgia,4,Digital Track,37,71.48
Egypt,3,Physical / Merch,4,70.75
Honduras,4,Physical / Merch,3,70.38
Georgia,4,Digital Album,14,69.24
Kenya,4,Digital Album,9,68.65
Greece,4,Other,8,68.47
Saudi Arabia,4,Physical / Merch,5,68.36
Philippines,4,Physical / Merch,6,68.06
Bosnia and Herzegovina,3,Physical / Merch,5,67.81
Kazakhstan,3,Digital Track,32,67.14
Venezuela,3,Digital Album,15,66.65
ME,3,Digital Album,9,65.47
Belarus,4,Digital Album,12,65.32
South Africa,4,Other,5,64.76
Republic of Korea,4,Other,2,64.22
Cyprus,4,Digital Track,26,63.39
Lebanon,3,Physical / Merch,2,62.9
Uruguay,4,Digital Album,11,62.73
Philippines,4,Digital Track,31,62.16
Namibia,3,Digital Album,7,60.84
Cambodia,3,Physical / Merch,4,60.51
Guernsey,3,Digital Album,8,59.79
Peru,3,Other,7,59.6
French Polynesia,3,Other,2,59.46
Algeria,3,Other,1,57.75
Martinique,3,Digital Album,6,57.22
Luxembourg,4,Digital Track,17,57.16
Dominican Republic,4,Physical / Merch,2,57.0
Tunisia,3,Digital Track,26,56.94
Bosnia and Herzegovina,3,Digital Track,19,56.48
Guatemala,3,Digital Track,30,56.33
Macedonia,3,Physical / Merch,4,56.3
Viet Nam,3,Physical / Merch,3,56.15
Palestinian Territory,3,Digital Album,10,55.77
Bulgaria,4,Digital Track,20,55.65
Kenya,3,Physical / Merch,2,55.58
Paraguay,3,Physical / Merch,4,54.81
Algeria,3,Digital Track,9,54.29
Tunisia,3,Physical / Merch,3,54.24
Morocco,3,Other,2,53.9
Pakistan,3,Digital Album,9,53.9
Turkey,4,Digital Track,13,53.67
Bolivia,3,Digital Track,20,53.49
Paraguay,3,Digital Album,8,53.39
Bahrain,4,Physical / Merch,3,53.24
India,4,Digital Track,21,53.0
Jordan,4,Physical / Merch,2,52.86
Fiji,3,Physical / Merch,3,52.72
French Guiana,3,Digital Album,10,52.4
Viet Nam,4,Digital Album,13,50.98
Malaysia,4,Digital Track,19,50.37
ME,3,Physical / Merch,2,50.0
Morocco,4,Digital Album,6,49.9
Macedonia,4,Physical / Merch,2,49.82
Botswana,3,Digital Album,10,48.97
Mauritius,3,Digital Track,25,48.7
Kenya,3,Digital Track,23,47.44
Jersey,3,Digital Track,23,47.32
Indonesia,3,Other,6,47.24
Albania,3,Digital Album,7,47.09
Azerbaijan,3,Digital Album,5,46.24
Costa Rica,4,Digital Album,9,46.12
Czech Republic,4,Other,4,45.89
Kuwait,3,Digital Track,28,45.34
Bermuda,3,Physical / Merch,3,45.3
Argentina,4,Physical / Merch,3,45.21
Bahrain,3,Other,1,44.81
Jordan,4,Digital Track,21,44.81
Luxembourg,4,Other,2,43.79
Serbia,4,Digital Track,20,43.68
Macedonia,3,Other,1,43.24
Taiwan,4,Other,2,43.13
Estonia,3,Other,5,41.65
Honduras,3,Digital Album,5,41.61
Oman,4,Digital Album,4,41.6
U.S. Virgin Islands,3,Digital Track,3,41.0
Bermuda,3,Digital Track,21,40.75
Grenada,3,Digital Album,4,40.0
Tunisia,3,Other,1,40.0
El Salvador,4,Digital Track,9,39.99
Kenya,4,Other,1,39.65
Rwanda,3,Digital Album,4,39.46
Andorra,4,Physical / Merch,3,39.22
Cyprus,3,Other,1,38.75
Jersey,4,Physical / Merch,1,38.59
Kazakhstan,4,Digital Track,21,38.51
Saudi Arabia,4,Digital Track,10,38.45
Uganda,3,Digital Album,4,38.0
Kazakhstan,4,Digital Album,8,37.19
Uruguay,4,Digital Track,15,36.71
Iceland,4,Digital Track,18,36.69
Puerto Rico,3,Other,1,36.48
XK,3,Digital Track,13,36.34
Peru,4,Digital Track,9,36.25
Martinique,3,Digital Track,5,36.24
Gibraltar,4,Digital Track,14,35.84
Cayman Islands,3,Physical / Merch,1,34.89
Kuwait,4,Digital Album,4,34.71
Tunisia,3,Digital Album,7,34.7
Jordan,3,Digital Track,22,34.6
Monaco,3,Digital Album,2,34.45
Albania,3,Other,1,34.43
Lebanon,4,Digital Track,11,34.42
Sri Lanka,3,Digital Album,6,34.21
Algeria,3,Digital Album,5,34.19
Oman,3,Physical / Merch,2,34.08
Åland Islands,3,Digital Album,6,33.91
Venezuela,3,Other,3,33.5
Indonesia,4,Digital Track,16,33.49
French Guiana,3,Digital Track,15,33.45
Morocco,3,Digital Track,21,33.06
Honduras,4,Digital Album,4,32.8
United States,3,Unknown,7,32.69
Bermuda,4,Physical / Merch,1,32.16
Trinidad and Tobago,3,Digital Track,13,31.6
Hungary,4,Other,2,31.51
Viet Nam,4,Digital Track,18,30.78
Senegal,3,Digital Album,5,30.59
Maldives,3,Digital Album,6,30.44
Bolivia,4,Digital Album,4,30.31
Lao People's Democratic Republic,3,Digital Album,5,30.25
Barbados,3,Digital Track,7,29.5
Monaco,4,Digital Album,4,29.11
Uruguay,3,Other,5,29.0
Jordan,4,Digital Album,5,28.71
Kyrgyzstan,3,Digital Track,18,28.52
El Salvador,4,Digital Album,7,28.49
Slovenia,4,Digital Track,8,27.7
Cayman Islands,3,Digital Track,4,27.0
Tunisia,4,Physical / Merch,1,27.0
Macao,4,Digital Album,7,26.71
Gabon,3,Digital Album,2,26.6
Andorra,3,Physical / Merch,3,26.45
Guernsey,3,Digital Track,12,25.97
ME,3,Other,1,25.9
Brazil,4,Other,1,25.87
Cyprus,4,Other,1,25.7
Portugal,4,Other,3,25.65
Gibraltar,3,Digital Album,9,25.5
Bahamas,3,Physical / Merch,1,25.0
El Salvador,3,Other,1,25.0
Bosnia and Herzegovina,4,Other,1,24.43
Puerto Rico,4,Digital Album,3,24.2
Honduras,3,Digital Track,18,24.12
Faroe Islands,3,Other,1,24.0
Cook Islands,3,Digital Album,3,23.46
Jamaica,4,Digital Album,4,23.06
Guam,3,Digital Track,9,23.0
Faroe Islands,3,Digital Track,2,22.38
Kazakhstan,4,Physical / Merch,1,22.28
Namibia,3,Digital Track,6,22.22
Anguilla,3,Physical / Merch,1,22.0
Moldova,4,Digital Album,3,21.71
Barbados,3,Digital Album,2,21.62
